Ticker, Sector 
PNC, Comm. & Media 
POW, Financial Services 
PWF, Financial Services 
PPR, Oil & Gas 
PSK, Oil & Gas 
PD, Industrial Products & Services 
PBH, Consumer Products & Services 
PMZ, Real Estate 
PRV, Real Estate 
PRN, Life Sciences 
PRL, Technology 
PSD, Industrial Products & Services 
PYR, Clean Technology & Renewable Energy 
QTRH, Technology 
QBR, Comm. & Media 
QRC, Financial Services 
QEC, Oil & Gas 
QIPT, Life Sciences 
RPR, Real Estate 
RBA, Industrial Products & Services 
REAL, Technology 
QSR, Consumer Products & Services 
QSP, Consumer Products & Services 
RVX, Life Sciences 
RFA, Financial Services 
RIC, Industrial Products & Services 
RCH, Industrial Products & Services 
RIO, Mining 
REI, Real Estate 
RGSI, Industrial Products & Services 
RCI, Comm. & Media 
RSI, Consumer Products & Services 
ROOT, Consumer Products & Services 
RM, Mining 
RY, Financial Services 
RTG, Mining 
RUA, Mining 
RBY, Oil & Gas 
RUP, Mining 
RUS, Industrial Products & Services 
MIC, Financial Services 
SFC, Financial Services 
SLT, Financial Services 
STC, Technology 
SAP, Consumer Products & Services 
MSCL, Life Sciences 
SOIL, Oil & Gas 
SIS, Industrial Products & Services 
SEA, Mining 
SES, Industrial Products & Services 
SEC, Financial Services 
SBI, Mining 
SVA, Life Sciences 
S, Mining 
SHOP, Technology 
SIA, Real Estate 
SBR, Mining 
SVB, Mining 
ELEF, Mining 
AGMR, Mining 
SVM, Mining 
SRV, Consumer Products & Services 
SKE, Mining 
SGR, Real Estate 
SRU, Real Estate 
SGD, Mining 
SLS, Mining 
SLR, Mining 
SFI, Consumer Products & Services 
SHLE, Industrial Products & Services 
SOBO, Utilities & Pipelines 
SXGC, Mining 
SDE, Oil & Gas 
EDT, Life Sciences 
TOY, Consumer Products & Services 
SII, Financial Services 
SSRM, Mining 
SAU, Mining 
STCK, Financial Services 
STN, Industrial Products & Services 
DIAM, Mining 
SAM, Mining 
SJ, Industrial Products & Services 
STGO, Mining 
RAY, Comm. & Media 
STLR, Mining 
SVI, Real Estate 
STG, Industrial Products & Services 
SCR, Oil & Gas 
SLF, Financial Services 
SU, Oil & Gas 
SOY, Clean Technology & Renewable Energy 
SPB, Utilities & Pipelines 
SXP, Consumer Products & Services 
SGY, Oil & Gas 
SWP, Consumer Products & Services 
SYZ, Technology 
TBL, Industrial Products & Services 
TSK, Mining 
TLO, Mining 
TVE, Oil & Gas 
GRID, Clean Technology & Renewable Energy 
TKO, Mining 
TRP, Utilities & Pipelines 
TECK, Mining 
TCS, Technology 
TSAT, Technology 
T, Comm. & Media 
TNZ, Oil & Gas 
TGO, Comm. & Media 
TSND, Life Sciences 
TVK, Industrial Products & Services 
TFII, Industrial Products & Services 
THNC, Technology 
TRI, Comm. & Media 
TWM, Industrial Products & Services 
LCFS, Clean Technology & Renewable Energy 
TLRY, Consumer Products & Services 
TF, Financial Services 
TINY, Technology 
TI, Mining 
TTNM, Industrial Products & Services 
X, Financial Services 
TPZ, Oil & Gas 
TXG, Mining 
TIH, Industrial Products & Services 
TD, Financial Services 
TOT, Industrial Products & Services 
TXP, Oil & Gas 
TOU, Oil & Gas 
TA, Utilities & Pipelines 
TRZ, Consumer Products & Services 
TCL, Comm. & Media 
TSL, Industrial Products & Services 
TCW, Industrial Products & Services 
TMQ, Mining 
TFPM, Mining 
TSU, Financial Services 
TLG, Mining 
TNT, Real Estate 
TRX, Mining 
TC, Technology 
TVA, Comm. & Media 
TWC, Consumer Products & Services 
UNI, Consumer Products & Services 
URC, Mining 
URB, Financial Services 
URE, Mining 
VLE, Oil & Gas 
VCM, Technology 
VLN, Industrial Products & Services 
NPK, Mining 
VET, Oil & Gas 
VBNK, Financial Services 
VMET, Mining 
FORA, Technology 
VRTS, Comm. & Media 
VGZ, Mining 
VHI, Technology 
VZLA, Mining 
VOXR, Mining 
WJX, Industrial Products & Services 
WFC, Real Estate 
WM, Mining 
WCN, Industrial Products & Services 
WELL, Life Sciences 
WDO, Mining 
WFG, Industrial Products & Services 
WRN, Mining 
WRG, Industrial Products & Services 
WEF, Industrial Products & Services 
WRX, Mining 
WGX, Mining 
WPRT, Clean Technology & Renewable Energy 
WTE, Industrial Products & Services 
WPM, Mining 
WCP, Oil & Gas 
WILD, Comm. & Media 
WCM, Financial Services 
WPK, Industrial Products & Services 
WNDR, Technology 
WSP, Industrial Products & Services 
XTRA, Technology 
XTG, Mining 
YGR, Oil & Gas 
Y, Comm. & Media 
YRB, Mining 
